study_hours,attendance_pct,previous_score,assignment_completion,sleep_hours,participation,previous_performance,performance_category
4.5,50.1,83.1,96.5,5.4,3,7,Needs Improvement
11.4,56.7,31.7,79.0,3.5,9,7,Average
8.8,50.6,31.5,48.3,5.9,5,8,Needs Improvement
7.2,45.3,52.7,43.7,5.2,8,5,Needs Improvement
1.9,47.2,64.2,48.0,7.7,7,7,Needs Improvement
1.9,67.6,83.9,82.0,7.2,8,8,Good
0.7,52.4,77.8,72.9,5.6,7,9,Good
10.4,61.9,61.2,34.8,4.5,3,3,Average
7.2,70.2,49.2,33.9,9.9,2,3,Needs Improvement
8.5,81.4,99.8,27.9,6.2,7,4,Excellent
0.2,42.4,59.8,72.8,7.8,3,5,Needs Improvement
11.6,88.0,61.6,81.1,4.0,3,10,Excellent
10.0,77.7,41.5,41.2,6.4,2,1,Needs Improvement
2.5,44.9,85.6,21.7,3.2,4,7,Needs Improvement
2.2,92.4,78.6,26.6,6.5,8,9,Good
2.2,95.3,45.5,97.4,9.7,1,8,Good
3.7,43.7,35.8,43.6,5.7,1,5,Needs Improvement
6.3,56.6,77.6,81.5,3.3,5,4,Average
5.2,88.4,75.8,70.0,3.2,5,7,Good
3.5,84.9,49.1,50.6,5.7,1,5,Average
7.3,51.1,96.6,36.5,4.1,6,7,Average
1.7,52.6,40.6,29.7,3.2,1,1,Needs Improvement
3.5,62.2,60.3,69.2,8.3,5,1,Needs Improvement
4.4,69.1,96.1,82.0,6.2,9,10,Excellent
5.5,77.1,59.4,71.5,5.0,5,3,Average
9.4,62.1,74.7,62.4,9.3,6,2,Good
2.4,67.8,57.8,23.4,3.8,8,2,Needs Improvement
6.2,84.8,49.2,97.5,9.7,1,7,Excellent
7.1,42.2,98.9,83.9,5.2,2,10,Excellent
0.6,55.1,58.7,43.4,9.2,9,2,Needs Improvement
7.3,82.8,92.6,98.4,7.2,3,4,Excellent
2.0,93.7,46.1,68.2,8.8,6,2,Average
0.8,70.7,44.9,66.6,9.9,5,6,Needs Improvement
11.4,71.9,32.2,79.8,5.0,2,8,Good
11.6,46.4,75.6,84.9,9.7,7,10,Excellent
9.7,66.8,55.8,72.5,5.7,4,4,Good
3.7,72.0,90.5,30.2,5.7,1,5,Average
1.2,54.5,63.1,47.1,5.4,4,4,Needs Improvement
8.2,56.2,97.8,94.2,6.8,6,3,Excellent
5.3,62.6,43.0,38.0,4.1,7,5,Needs Improvement
1.5,41.2,90.8,49.8,6.9,7,9,Good
5.9,59.3,84.4,54.6,6.8,7,8,Good
0.4,52.7,84.0,55.2,8.3,3,8,Needs Improvement
10.9,59.6,89.1,69.0,8.8,6,8,Good
3.1,47.2,83.3,95.4,6.1,8,8,Good
8.0,93.4,73.8,39.3,5.1,4,7,Average
3.7,75.6,39.2,29.7,4.8,8,8,Needs Improvement
6.2,80.7,32.3,35.8,4.4,2,8,Needs Improvement
6.6,87.4,94.5,91.0,3.4,10,8,Excellent
2.2,69.9,73.2,71.7,5.4,9,10,Good
11.6,45.2,85.8,42.9,4.9,9,7,Good
9.3,72.2,63.7,85.3,9.8,8,1,Excellent
11.3,75.2,38.2,88.9,6.9,10,4,Good
10.7,84.7,38.8,87.7,5.4,10,4,Excellent
7.2,65.9,78.0,93.5,7.1,1,5,Good
11.1,47.7,60.1,40.2,4.0,2,10,Average
1.1,57.0,44.0,80.4,6.1,6,6,Needs Improvement
2.4,61.8,64.4,56.8,7.4,10,4,Average
0.5,78.8,34.5,87.4,6.4,5,2,Average
3.9,74.2,70.7,78.3,5.8,9,6,Good
4.7,61.4,48.8,82.1,10.0,5,8,Good
3.3,99.2,85.8,72.5,9.2,2,8,Excellent
9.9,76.3,51.7,34.2,7.4,10,7,Good
4.3,54.2,61.9,63.6,7.0,4,6,Average
3.4,46.1,30.8,98.8,7.3,9,2,Needs Improvement
6.5,49.2,35.1,95.0,4.4,1,7,Needs Improvement
1.7,54.8,57.5,23.5,5.8,1,5,Needs Improvement
